raw,processed,predict
Kenapa investasi saya masih proses padahal Uda 3 hari. Katanya maksimal 3hari bursa nya. Mohon dibenarkan masalah ini sengaja saya kasih bintang 5 biar cepat dibaca,investasi proses katanya maksimal bursa dibenarkan masalah sengaja bintang cepat dibaca,-1
"aplikasi yang bagus,bermampaat sekali buat transper ke bank yg lain,yg minat mau jadi agen pulsa hubungi saya : O82IIII6333O transaksi cepat",aplikasi bagus bermampaat transper bank minat jadi agen pulsa hubungi transaksi cepat,-1
"Senang menggunakan OVO, bisa untuk berbagai keperluan bayar tagihan, pembelanjaan online ato offline, transfer ke perbankan nasional, dll. Jaga dan tingkatkan performa yang sudah prima. Trims.",senang menggunakan ovo untuk berbagai keperluan bayar tagihan pembelanjaan onlen oflen transfer perbankan nasional dan lain-lain jaga tingkatkan performa prima terima kasih,1
"bukanya mempermudah malah jadi mempersulit,top up langsung masuk cepet tapi buat transfer segala macem prosesnya sering gagal dan lambat",bukanya mempermudah jadi mempersulit top up langsung masuk cepat transfer prosesnya gagal lambat,-1
"Saya Isi Pulsa 100Rb , Lama sekali menunggunya gangguan terus . Tolong dong sistemnya diperbaiki , harus banget nunggu berjam"" buat transaksi dimalam hari kalau pake ovo? Aplikasi lain lebih cepat dan instan sepertinya dan tidak sering gangguan",isi pulsa ribu menunggunya gangguan terus sistemnya diperbaiki banget menunggu berjam transaksi dimalam pakai ovo aplikasi cepat instan gangguan,-1
Bintang 1-3 sangat cocok buat aplikasi ini... Aplikasi paling menyebalkan... Mau upgrade saja sulitnya minta ampun... G kaya emoney yg lain... Ngapain juga pakai pengenalan wajah. Yg lain aja tdk. Kalau langsung berhasil g apa2... Ini sudah diulang2 tetap saja gagal. Padahal ho sy poco x3 kamera sangat jelas... Tetap sj gagal... Sy rasa fiturnya biasa saja... G ada yg istimewa... Oh iya... CSnya yg bagian chatting respon lama bgt. Giliran kita sedikit lambat balas malah ditinggal... Hedeeeh,bintang cocok aplikasi aplikasi menyebalkan upgrade sulitnya meminta ampun kayak emoney sedang apa pakai pengenalan wajah langsung berhasil diulang tetap gagal ho poco kamera jelas tetap gagal rasa fiturnya istimewa oh csnya bagian chatting respon banget giliran lambat balas ditinggal hedeh,-1
"Kenapa setelah saya Update Apk OVO ku malah ribet untk masuk,padahal ada saldo saya di dalam.mohon kepada pihak Apk OVO untuk tindaki dengan cepat terkait keluhan konsumen..",update aplikasi ovo ku ribet untuk masuk saldo pihak aplikasi ovo untuk tindaki cepat terkait keluhan konsumen,-1
Ma.af tdk bisa kasih bitang bnyk. Karna transaksi saya gagal melulu kalo sdah top up luar biasa cepat masuk nya tapi kalo transfer selalu coba lagi dan coba lagi. Tolong ya tingkatkn lagi jngn sampai transaksi pelanggan terganggu dan mengakibatkn penggiat atau pemakai aplikasi ovo berkurang,af bitang transaksi gagal melulu top up luar cepat masuk transfer coba coba tingkatkn transaksi pelanggan terganggu mengakibatkn penggiat pemakai aplikasi ovo berkurang,-1
"Untuk investasi yg ditawarkan hanya 2 produk dari bareksa dan untuk pembelian produk butuh 3 hari, tapi untuk menjual cepat banget masuk ke ovonya,klo b#b#t hanya butuh beberapa menit untuk proses pembelian,dan penjualannya yg agak lama,untuk OVo invest mestinya ditambah dengan obligasi dan saham,, klo main di pasar uang terlalu lama untukenambah nilai rupiahnya",untuk investasi ditawarkan produk bareksa untuk pembelian produk butuh untuk menjual cepat banget masuk ovonya butuh menit untuk proses pembelian penjualannya untuk ovo invest mestinya ditambah obligasi saham main pasar uang untukenambah nilai rupiahnya,1
"sekarang apa lagi.. lupa security code malah gk bisa login akun malah di blokir.. pihak ovo klo kirim kode verifikasi cepat klo dana masuk cepat.. tapi giliran pengguna ada masalah malah lepas tangan malah minta nunggu doank.. semua di serahkan ke costumer support, iya klo costumer support nya ceoat respon. ini mana udah lama respon nya giliran minta bantuan malah dapat jawaban yg sama sekali tidak membantu. berawal dari di suruh nunggu 1 jam selanjut nya di suruh nunggu 1x 24 jam apa gk gila.",lupa security code gak login akun blokir pihak ovo kirim kode verifikasi cepat dana masuk cepat giliran pengguna masalah lepas tangan meminta menunggu doang serahkan costumer suppo costumer supponya ceoat respon respon giliran meminta bantuan jawaban membantu berawal suruh menunggu jam selanjut suruh menunggu jam gak gila,-1
"Sumpah ovo bener"" jelek sekarang, cuma pindahin akun ke hp yang baru malah diblokir, maksudnya apa coba? Trus disuruh csnya ini itu, udah saya lakuin tapi mana hasilnya? Tetep nihil masih diblokir, kecewa saya. Dulu perasaan ovo ga kek gini. Sekarang kok malah jadi ribet sistemnya, bagusan Apk sebelah serius.tolong pak/bu kalau ada orang yang kena masalah cepat diurus",sumpah ovo benar jelek pindahin akun handphone diblokir maksudnya coba terus disuruh csnya melakukan hasilnya tetap nihil diblokir kecewa perasaan ovo kayak jadi ribet sistemnya bagusan aplikasi sebelah serius pak bu orang kena masalah cepat diurus,-1
"Kenapa ga bisa transfer ke rekening bank ? Gagal terus , udah ke beberapa nomor rekening juga gagal , sinyal saya bagus , udah saya reuninstall tetep aja ga bisa , katanya digital , tapi lambat , payah , tolong di perbaiki (masa harus pake VPN pas mau transfer ke rekening bank) hadeuh . . . Kaya ilegal aja . . .",transfer rekening bank gagal terus nomor rekening gagal sinyal bagus reuninstall tetap katanya digital lambat payah perbaiki masa pakai vpn pas transfer rekening bank aduh kayak ilegal,-1
"Karena saya top up vocher game free fire belum masuk, saya sudah nunggu 24 jam tapi belum sampai ke game nya dan saldo saya juga ber kurang, mohon segera di atasi dan pelaya nan nya di per cepat ya",top up vocher permainan bebas fire masuk menunggu jam permainan saldo ber kurang atasi pelaya nan cepat,-1
"Akun q diblock, tidak tahu kenapa, padahal, aq baru top up Uang hilang, itu bikin nyesek Tapi yg lebih bikin geram dan marah adalah aplikasi seperti ini, bukannya memberi solusi efisien, cepat & memberi hasil Cara penyelesaian masalah terkesan lama & bertele""",akun diblock tahu top up uang hilang menyesak geram marah aplikasi memberi solusi efisien cepat memberi hasil cara penyelesaian masalah terkesan bertele,-1
"Aplikasi OVO ini salah satu termasuk tempat wadah atau penyimpanan uang tanpa pernah ada potongan di setiap bulan nya, dan menurut saya pribadi aplikasi ini pun sangat membantu saya untuk bisa berbelanja, membeli vocher, membayar token listrik, DLL . Terus berikan performa yang bagus yaa OVO jangan sampai buat merugikan yang sudah mempercayai nya . Terimakasih",aplikasi ovo salah satu termasuk tempat wadah penyimpanan uang potongan bulan menurut pribadi aplikasi membantu untuk berbelanja membeli vocher membayar token listrik dan lain-lain terus berikan performa bagus ya ovo merugikan mempercayai terimakasih,-1
Kok sy top up ovo g masuk uangnya..knp ya? Duh hrs gmn biar uangnya msuk ... Td top up 55.000...statusnya dr BRILink udah berhasil tp uangnya ga masuk ke ovo 😭😭 Trimakasih atas tanggapan cepat dr aduan saya...skrg top up nya sudah masuk ke akun ovo saya jd bs digunakan lg deh...saya perbaharui ya bintangnya jd bintang 5 ..makasiihhh...ovo top deh,top up ovo masuk uangnya aduh gimana uangnya masuk top up statusnya brilink berhasil uangnya masuk ovo trimakasih atas tanggapan cepat aduan top up masuk akun ovo jadi digunakan deh perbaharui bintangnya jadi bintang makasiih ovo top deh,-1
"Kecewa dengan apl ovo.. Transper pls ke Telkomsel beda jam ...koq bisa sama no SN..nya...dan udah kepotong saldo nya.tapi pls nya blm masuk, jadi ga bisa diproses... Telah menyampaikan keluhan.. Respon lambat...ada indikasi lempar sana lempar sini... Tolong kerja sama nya... Respon lambat yg menanggapi keluhan pelanggan",kecewa apl ovo transper telkomsel beda jam no sn kepotong saldo masuk jadi diproses menyampaikan keluhan respon lambat indikasi lempar lempar kerja respon lambat menanggapi keluhan pelanggan,-1
Banyak fitur yang menggiurkan dan bisa membantu kita jika kita ingin menabung Diogo Saya pengen menabung biaya pendidikan anak 5tahun tetapi saya belum bigitu paham jika sistem nya seperti gojek akan luar biasa dan banyak yang gabung Update nya tidak terus menerus Dan apabila ada masalah respon nya sangat cepat Harapan saya semoga ovo lebih baik lagi kedepannya,fitur menggiurkan membantu menabung diogo menabung biaya pendidikan anak tahun bigitu paham sistem gojek luar gabung update terus menerus masalah respon cepat harapan semoga ovo baik kedepannya,-1
"Aku gak pake ini untuk keuangan, masalahnya pengajuan akun investasi ku belum masih dalam proses sudah 3hari lebih, katanya paling lambat 1hari tau taunya udah lebih 3hari belum ada kepastian di terima tau tidak, Trus kenapa ovo sediakan pendaftaran investasi lewat menu finance jika masih harus menghubungi contak centernya, seharusnya menu ini sudah bagus buat kami, tapi kok harus hubungi contak center lagi , maaf ovo walaupun akunku premier aku tetap juga uninstall, yg penting gk sempat kelir",pakai untuk keuangan masalahnya pengajuan akun investasi ku proses katanya lambat tahu taunya kepastian terima tahu terus ovo sediakan pendaftaran investasi lewat menu finance menghubungi contak centernya menu bagus hubungi contak center maaf ovo akunku premier tetap uninstall penting gak kelir,1
"Aplikasi ovo sya rasa, aplikasi yg sangat membantu sekali utk memudahkan kita semua bertransaksi dimana saja dan kapan saja, sangat memudahkan, dan simpel digunakan, aplikasi yg luarbiasa, thanks very much ovo 🙂😃🙏, Alhamdullilah, sya ngk ada kendala memakai aplikasi in, saat bertransaksi, aplikasinya bagus sekali, cepat melakukan pembayarannya, sangat luarbiasa sekali",aplikasi ovo rasa aplikasi membantu untuk memudahkan bertransaksi dimana memudahkan simpel digunakan aplikasi luarbiasa terima kasih very much ovo alhamdullilah kendala memakai aplikasi bertransaksi aplikasinya bagus cepat melakukan pembayarannya luarbiasa,1
"Tolong di tanggapi dengan cepat klw tdak sy akan laporkan aplikasih ini ke pihak berwajib. Saya dr jam 3 subuh sampai pagi d telpon terus dengan alasan mw bantu cairkan THR dr ovo, yg jdi pertanyaanya apakah di grub kalian tdk punya etika.? Biar waktu istirahat masih jg menelpon.! Baru sudah tw dia salah malah memaki balik apa bgtu cara pelayanan aplikasi ini.?",tanggapi cepat laporkan aplikasih pihak berwajib jam subuh pagi telpon terus alasan now watching bantu cairkan thr ovo jadi pertanyaanya grub punya etika waktu istirahat menelpon tahu salah memaki balik cara pelayanan aplikasi,-1
Edit ulasan : ternyata ovo memang keren tadinya saya salah sangka karena transfer saya tidak masuk rekening tujuan ternyata responnya sangat cepat waktu saya ada masalahdan dalam tempo satu jam dana saya di kembalikan ke akun ovo saya. Nb : respon sangat cepat melalui chating di pusat bantuan yg tertera di aplikasi ovo. Sukses selalu buat ovo agar selalu menjadi yang terdepan .,edit ulasan ternyata ovo keren salah sangka transfer masuk rekening tujuan ternyata responnya cepat waktu masalahdan tempo satu jam dana kembalikan akun ovo nb respon cepat chating pusat bantuan tertera aplikasi ovo sukses ovo menjadi terdepan,-1
"Gimana ni ovo sekarang mau login aja lambar benar bisa nungu sampai 15 menit belum bisa login juga, gimana mau transaksi cepat kalau gini. Tolong di perbaiki kualitas sofwarnya,....",ovo login lambar benar nungu menit login transaksi cepat perbaiki kualitas sofwarnya,-1
Bagus banget..saran buat apliaksih ovo...kalau bisa investasinya jangan 3 hari kerja baru masuk dan penarikkan dana investasinya jangan 3 hari kerja juga...kalau sistemnya diubah ..mau jam berapapun investasi langsung masuk dan begitu juga penarikkan dana investasinya ...intinya kalau prosesnya cepat ..bakallan rame yang investasi diovo...ini hanya saran saya,bagus banget saran apliaksih ovo investasinya kerja masuk penarikkan dana investasinya kerja sistemnya diubah jam investasi langsung masuk penarikkan dana investasinya intinya prosesnya cepat bakallan ramai investasi diovo saran,-1
"Terima kasih ovo, dengan adanya aplikasi ini sangat membantu sekali, transaksi apapun jadi mudah dan praktis, serta customer service nya yang sangat tanggap dan cepat menangani keluhan, mantuL pokoknya ovo !!☺️🤗",terima ovo aplikasi membantu transaksi apapun jadi mudah praktis customer service tanggap cepat menangani keluhan mantul pokoknya ovo,1
"Untuk transfer dll udah bagus cepat banget, tapi kenapa ya untuk verifikasi ovo invest sampai sekarang belum terverifikasi katanya maks 1 hari kerja, tolong dipercepat lagi agar pengguna lebih nyaman menggunakan ovo invest, Terima kasih",untuk transfer dan lain-lain bagus cepat banget untuk verifikasi ovo invest terverifikasi katanya maks kerja dipercepat pengguna nyaman menggunakan ovo invest terima,1
"Saldo ovo cash saya hilang 250.000 udah dm di instagram gak di bales"" , mungkin bagi kalian uang segitu kecil bagi kami driver sangat besar masa pandemi gini bukan nya mudah cari penumpang!!!! Tolong dong tindak lanjut nya gimana ini uang saya hilang begitu aja gimana rating mau bintang 4 kalo pelayanan lambat begini",saldo ovo cash hilang dm instagram balas uang segitu driver besar masa pandemi mudah cari penumpang tindak lanjut uang hilang rating bintang pelayanan lambat,-1
Baru kali ini kecewa bgt sama ovo beli pulsa dari malem sampai hari ini masih proses aja chat dibantuan nunggu nya lebih dari 400 orang trakhir kali udah transaksi di ovo terima kasih. Kecewa karna pelayanan nya lambat,kali kecewa banget ovo beli pulsa malam proses chat dibantuan menunggu orang trakhir kali transaksi ovo terima kecewa pelayanan lambat,-1
"Mohon respon nya , kenapa gangguan terus dan live chat nya lambat respon ,...msalh pengisian pulsa nih.. mohon dibantu lah min",respon gangguan terus live chat lambat respon msalh pengisian pulsa dibantu min,-1
"Maaf, untuk performa yang lainnya lancar ga ada kendala. Cuman waktu saya mau daftar buat invest di OVO pada 2bln kemarin kok sampe sekarang belum terverifikasi? Padahal dalam penjelasannya 1 hari kerja, udah 2bln nungguin sampai sekarang belum terverifikasi",maaf untuk performa lancar kendala waktu daftar invest ovo bulan kemarin terverifikasi penjelasannya kerja bulan menunggu terverifikasi,-1
Pelayanan dari pihak Ovo sangat bagus..disaat saya ada kendala mereka dengan cepat merespon untuk membantu dan sekarang akun ovo saya bisa digunakan kembali tanpa saldo hilang atau pun berkurang 🤗🤗,pelayanan pihak ovo bagus disaat kendala cepat merespon untuk membantu akun ovo digunakan kembali saldo hilang berkurang,-1
Buka pemblokiran lama nya mintta ampun.. Kalah2 buka blokiran atm.. Ayo dong di percepat buka pemblokiran nya.. Karna sangat butuh.. Dari kemarin coba hub lewat email smpai skrng blm juga selesai2. Ayo dong cepat,pemblokiran mintta ampun kalah blokiran atm ayo percepat pemblokiran butuh kemarin coba hubungi lewat email selesai ayo cepat,-1
"oke,nggak ada masalah,isi pulsa cepat,transfer ke bank lain jg cepat biaya adm terjangkau 2500,kalau bisa gratis pasti lebih keren lagi,thanks",oke masalah isi pulsa cepat transfer bank cepat biaya adm terjangkau gratis keren terima kasih,1
"Saya sangat terbantu dengan aplikasi ini, bnyk yg ngeluh ktny jelek,,buat aku lancar2 aja tuh,,ga pernah ada kendala waktu transfer atau beli pulsa datangny cepat g pernah telat..pertahanin ya...,,",terbantu aplikasi ngeluh katanya jelek lancar kendala waktu transfer beli pulsa datangny cepat terlambat pertahanin,-1
Ovo tidak bisa log in... padahal saldo mau di buat bayar tagihan bulanan... tolong admin cepat di seleseikan... Apa memang selalu seperti ini kalau ada saldo pasti tidak bisa log in...,ovo log saldo bayar tagihan bulanan admin cepat seleseikan saldo log,-1
"bajingan knpa gk mau trf ni anjeng , lagi butuh cpet ni , udh di hubungin cs nya tapi respond aja lambat kali anjeng , anjengkaoo",bajingan gak trf anjeng butuh cepat udah hubungin cs respond lambat kali anjeng anjengkaoo,-1
"Bagus ovo kembangkan lagi servernya service call nya klo bisa lebih tanggap soal nya kalo ada kesalahan terkadang sedikit lama ditanggapi, ya saya maklum namanya juga manusia pasti agak lambat",bagus ovo kembangkan servernya service call tanggap soal kesalahan terkadang ditanggapi maklum namanya manusia lambat,-1
"Pelayanan bantuan lama,, dan tidak memuaskannn.. masih disuruh nunggu dua hari.. kita pakai aplikasi butuh cepat dan efektif tidak seperti ini",pelayanan bantuan memuaskan disuruh menunggu dua pakai aplikasi butuh cepat efektif,-1
"alhamdulilah g jd kehilangan 200.000, laporan cepat di tanggapi, uang sudah kembali, terimakasih yg lain kalo kena masalah lapor ke ovo tunjukan bukti pasti selesai ko",alhamdulilah jadi kehilangan laporan cepat tanggapi uang kembali terimakasih kena masalah lapor ovo tunjukkan bukti selesai,-1
"Udah bagus aplikasinya transaksi cepat dan engga ribet,sedikit saran mohon di kembangkan lebih baik lagi pda beberapa fitur yg kadang suka eror .Terimakasih :)",bagus aplikasinya transaksi cepat ribet saran kembangkan baik fitur kadang suka eror terimakasih,-1
"Terima kasih telah cepat merespon keluhan, semoga kedepannya lebih mantap lagi symtemnya, & perbaikan yg cepat & tepat menjadi suatu respon yg baik & oke 👍👍👍",terima cepat merespon keluhan semoga kedepannya mantap symtemnya perbaikan cepat tepat menjadi respon baik oke,1
Kak saya sudah invest tanggal 9 juli kemaren kenapa sudah 4hari ini belum diverifikasi dan saya hubungi cs kenapa tidak bisa ? Tolong lah respon cepat kak,kak invest tanggal juli kemarin diverifikasi hubungi cs respon cepat kak,-1
"Alhamdulillah pelayanan developer nya baik cepat dalam mengatasi masalah cepat dalam respontnya, terima kasih buat ovo sukses terus (yang balesnya kak fahmi) buat kak fahmi terima kasih juga",alhamdulillah pelayanan developer baik cepat mengatasi masalah cepat respontnya terima ovo sukses terus balesnya kak fahmi kak fahmi terima,-1
"2 x transaksi macet, respon lambat sekali bener bener kecewa sama pelayanannya apa lagi kalo dlm keadaan darurat mending jgn beli pulsa/token lwt ovo",transaksi macet respon lambat benar benar kecewa pelayanannya keadaan darurat lebih baik beli pulsa token lewat ovo,-1
Di awal bagus banget gampang melakukan transaksi apa aja dengan cepat sampek jatuh cinta rasanya. Tapi makin kesini makin stres dbuat nya. Sebentar bisa sebentar enggak ihh hampir gila tauuu,awal bagus banget gampang melakukan transaksi cepat jatuh cinta rasanya kesini stres dibuat sebentar sebentar ih gila tahu,-1
Untuk pengembalian dana yang gagal transfer lumayan cepat hanya butuh 1 hari semoga lebih baik lagi untuk kedepannya,untuk pengembalian dana gagal transfer lumayan cepat butuh semoga baik untuk kedepannya,1
Mantap banget respon nya juga cepat duit ku yg hilang juga dikembalikan. Alhamdulillah banget duitnya balik lagi,mantap banget respon cepat duit ku hilang dikembalikan alhamdulillah banget duitnya balik,1
"Teruntuk ovo... Woi,ilang sbar ku.banyak x tingkahnya.. Dri awal makek lbih sring eror,proses.a lma..tpi sya msih sbar Dan skrg uang sya ktahan gk bsa d apa²in?(pdhl lmyan byk loh ini) Ada apa dngan ovo? Bisa gerak cepat gak pelayanannya?",teruntuk ovo woi hilang sbar ku tingkahnya awal makek sring eror proses sbar uang ktahan gak lumayan loh ovo gerak cepat pelayanannya,-1
"Kesan saya buruknya sistem top up, diperbaiki biar cepat masuk ,, jangan cuek Ama customer (+)perbaiki sebaik mungkin",kesan buruknya sistem top up diperbaiki cepat masuk cuek customer perbaiki sebaik,-1
Selamat sore cs OVO terima kasih atas respon cepat dan infonya akhirnya saya bisa menggunakan aplikasi grab disingkronkan dengan aplikasi ovo...senang rasanya dua aplikasi ini bisa dengan nama dan data yang sama...good job Cs OVO... Namun saya minta info bagaimana caranya saya mendapatkan kartu member ovo nya ?? Di outlet manakan saya bisa mendapatkan kartu tersebut?? Agar semakin lengkap saya menggunakan aplikasi ovo... Terima kasih Bravo n good job,selamat sore cs ovo terima atas respon cepat infonya menggunakan aplikasi grab disingkronkan aplikasi ovo senang rasanya dua aplikasi nama data good job cs ovo meminta informasi caranya mendapatkan kartu member ovo outlet manakan mendapatkan kartu lengkap menggunakan aplikasi ovo terima bravo good job,-1
Kenapa Ovo saya Ega bisa buat banyar sama sekali mohon minta bantuan ke pada pihak ovo biar bisa bayar cepat dan jangan eror terus,ovo ega banyar meminta bantuan pihak ovo bayar cepat eror terus,-1
Bagus la untuk mempermudah ada nya ovo pengiriman juga cepat ga pernah gagal ga kayak e wallet lain nya saran sih pake ovo aja tq,bagus untuk mempermudah ovo pengiriman cepat gagal wallet saran pakai ovo thank you,-1
"Brengsek ovoooooo komplen Uda 2 hari antriannnnnnn panjang Uda nmr 444 naik LG 461 brengsek klo mo nipu RAMPOK tu bank brengsek ovoooooo duit cuma20000 klo emng ga berhasil balikin geh saldo saya komplen nomor antrian panjang bukan turun naik LG antrian ,dlm menyelesaikan masalah nasabah ga cepat diselesaikan cuma kuota Smartfren 20ribu kuota unlimited 7 hari Uda 2 hr dalam proses terus lihat historis pesanan . PAKE GOPAY GOJEK AJA KLO ADA MASALAH CEPAT DISELESAIKAN GA NUNGGU ANTRIAN GA JELAS.",brengsek ovo komplen antrian panjang nomor naik brengsek tipu rampok bank brengsek ovo duit berhasil balikin gih saldo komplen nomor antrian panjang turun naik antrian menyelesaikan masalah nasabah cepat diselesaikan kuota smartfren ribu kuota unlimited proses terus lihat historis pesanan pakai gopay gojek masalah cepat diselesaikan menunggu antrian jelas,-1
respon pihak cs nya lama dari pihak ovo. beda kayak akun sebelah respon cs nya cepat gak nyampek 1 menit sudah dbls oleh cs app sebelah,respon pihak cs pihak ovo beda akun sebelah respon cs cepat nyampek menit dbls cs app sebelah,-1
Alhamdullh respon sangat cepat kendala tf ga terkirim akhirnya dapat selesai makasih ovo..btw kapan bisa mngajukan pinjaman karyawan,alhamdullh respon cepat kendala tf terkirim selesai terima kasih ovo ngomong-ngomong mngajukan pinjaman karyawan,1
terbaik .. cepat serta egak ribet serta hasilnya memuaskan .. good job ovo mantab abis 👍👍,terbaik cepat egak ribet hasilnya memuaskan good job ovo mantab habis,-1
