raw,processed
"Penanganan nya lambat, salah masukin pin gara2 hp nya ngebleng, tlfn cs, katanya segera di bantu, nyampe sore msh blm ada kabar, mana lumayan saldo nya masih banyak, saldo itu hasil narik ojol buat beli susu anak dll, tolong lh segera di respon",penanganan lambat salah masukkan pin gara handphone ngebleng tlfn cs katanya bantu sore kabar lumayan saldo saldo hasil menarik ojol beli susu anak dan lain-lain respon
"Udah tlp Cs sampe habis pulsa gak ada hasil, katanya tgl lahir gak sama dengan NIK malah disuruh rubah nik, NIK itu sifatnya individu gak bisa di ganti mau datang ke disduk capil juga ampe kiamat pun gbisa diganti, cs nya gak membantu, mau upgrade ke premier aja susah, gak recomended banget, dan GAK ADA HASIL",telepon cs habis pulsa hasil katanya tanggal lahir nik disuruh rubah nik nik sifatnya individu ganti datang disduk capil kiamat gbisa diganti cs membantu upgrade premier susah recomended banget hasil
"Tolong cs. Cepat buka dan balas email saya terkait pengaduan saldo ovo cash saya, sebelum top up saldo saya 5k, top up dari tf bank CIMB niaga, dan udah ada notif top up 10k berhasil saldo saya cuma 10k, harusnya 14k dari estimasi pemotongan biaya top up",cs cepat balas email terkait pengaduan saldo cash top up saldo top up tf bank cimb niaga notif top up berhasil saldo estimasi pemotongan biaya top up
"Saya ingin melakukan upgrade ovo premier namun selalu gagal uplod foto e-KTP padahal kondisi e-KTP baik dan pencahayaan pun baik, mohon diperbaiki sistemnya, seperti aplikasi lain harusnya yang mempermudah penggunanya, maaf bintang 1",melakukan upgrade premier gagal uplod foto ktp kondisi ktp baik pencahayaan baik diperbaiki sistemnya mempermudah penggunanya maaf bintang
Ovo tidak bertanggung jawab selalu bikin rugi pelanggan..awal transfer dana nga masuk..sekarang token..voucer nya nga ada saldo kepotong udh lapor dengan bukti2 udh kirim berhari hari nga ada kabar..kaya proses uang 2 miliar aja..hanya 22.000 aja mau makan uang pelanggan..nga malu sama nama besar ovo dengan pelayanan seperti ini..manusia sabar ada batasnya..,bertanggung jawab rugi pelanggan awal transfer masuk token voucer saldo kepotong udah lapor bukti udah kirim berhari kabar kayak proses uang miliar makan uang pelanggan malu nama besar pelayanan manusia sabar batasnya
"Mohon data pribadi saya dihapuskan, apabila ada pihak yang menyalah gunakan data pribadi saya bukan tanggung jawab saya dan tidak segan-segan melaporkan ke pihak berwajib, karena pelayanannya lambat ,masa trnsafer unag lama betul",data pribadi dihapuskan pihak menyalah gunakan data pribadi tanggung jawab segan segan melaporkan pihak berwajib pelayanannya lambat masa trnsafer unag betul
"Ovo udh mulai cacat kayaknya..kirim uang ke akun dana kagak bisa, ke semua bank juga kagak bisa,mulai dari bri,bni, permata, bca, dan smua bank tidak bisa, keterngn gagal kan parah ni..makin cacat aja ovo..",udah mulai cacat kirim uang akun bank mulai bri bni permata baca bank keterngn gagal parah cacat
"Bintang satu dulu karena ada pertanyaan, ketika daftar dan pilih upgrade ada foto KTP, sudah saya foto berkali2 dan padahal sudah jelas tapi masih mengulang terus, apakah harus tetap dengan KTP atau Ovo saya sudah bisa dipakai",bintang satu pertanyaan daftar pilih upgrade foto ktp foto berkali jelas mengulang terus tetap ktp dipakai
"Setiap kali top up dan mau membeli paket lewat ovo, selalu tidak bisa login sampai akun terblokir, dan untuk mengembalikannya harus tlp ke cs. Nya kan sayang pulsa. Jadi males pake ovo mening pake dana ga ribet.",kali top up membeli paket lewat login akun terblokir untuk mengembalikannya telepon cs sayang pulsa jadi malas pakai mening pakai ribet
Aplikasi pembohong . Penipu . Jgan pernah pakai aplikasi sialan ini utk menyimpan atau bertransaksi . Banyak masih aplikasi yg jujurv. Tidak seperti ovo . Akun saya di blokir . Uang saya tidak kembali.,pembohong penipu pakai sialan untuk menyimpan bertransaksi jujurv akun blokir uang kembali
"Sungguh mengecewakan, pembelian pulsa tdk berhasil (cancelled) sistim tp saldo tdk kembali, pengurusan berbelit dan lama sekali... Sudah diikuti 1x24 jam... Tetep tdk ada tdk lanjut... Sdh tidak minat dg ovo, pusat bantuan jg tdk membantu",sungguh mengecewakan pembelian pulsa berhasil cancelled sistim saldo kembali pengurusan berbelit diikuti jam tetap lanjut minat pusat bantuan membantu
"Bingung sama app ini? Uang ketanam , respon lambat , niat nggak si buka app? Atau memang begitu cara cari untungnya karena nggak banyak orang yang mau pakai? Seharusnya kalau sudah ada complain langsung di action. tolong cs nya lebih bijak , siapa tau ada kebutuhan urgent dari teman teman yg lain sementara uangnya tertahan didalam , entah itu , mohon maaf,bener bener masalah urgent , terus tanggung jawab dari pihak ovo seperti apa? Noted : not very very very very very recommended app 🙏🙏🙏",bingung app uang ketanam respon lambat niat app cara cari untungnya orang pakai complain langsung action cs bijak tahu kebutuhan urgent teman teman uangnya tertahan didalam tidak tahu maaf benar benar masalah urgent terus tanggung jawab pihak noted very very very very very recommended app
top up 75rb yg masuk ke ovo 73.500 saya top up lagi doptong lagi 1.500.. adm dan potongan nya membuat saya akan berhenti pakai OVO.. ulasan saya di hapus sebelum nya. dan teman saya juga ulasannya di hapus pihak OVO kali ya.. pasti banyak yg pada jauhi ovo kalau begini nih,top up ribu masuk top up doptong adm potongan membuat berhenti pakai ulasan hapus teman ulasannya hapus pihak kali jauhi
Dari kemaren mau transfer ngk bisa katanya dah melebihi batas transfer padahal saya baru satu kali transfer ini mau yg ke 2 kali dah 5 hari ngk bisa tf ..hubungi cs malah sama aj jawaban nya mana ni solusi nya min ...mulay ragu sama apl ini..,kemarin transfer katanya melebihi batas transfer satu kali transfer kali tf hubungi cs aja jawaban solusi min mulay ragu apl
"Sangat buruk ovo skrg jngan mau pake ovo, saya mau TF aja susah skrg katanya sudah 150tf k RekeningBank padahal saya baru 20kali TF k RekeningBank, mau TF ke sesama ovo saja susah minta ampun, gangguan terus, apk sampah, jngan mau pake ovo kalo yg blm pake , ini apk benar-benar jelek, dan tidak recommended banget.",buruk pakai tf susah katanya tf rekeningbank kali tf rekeningbank tf susah meminta ampun gangguan terus sampah pakai pakai benar benar jelek recommended banget
"Tolong lah ini... Kenapa susah sekali untuk verifikasi?? Selama 3 hari saya mencoba untuk verifikasi tapi gagal terus karena foto selfie yang tidak diterima. Puluhan kali saya mencoba tapi gagal terus?? Kenapa?? Kenapa dipersulit begini?? Foto saya sudah benar kok, pencahayaan pas, tidak ada aksesoris, tidak terlalu cepat tapi kenapa gagal terus?? Saya pengen nangis aja rasanya... Sulit sekali padahal saya sedang butuh untuk membayar beberapa keperluan kampus. Aplikasi nggak guna sama sekali!!!",susah untuk verifikasi mencoba untuk verifikasi gagal terus foto selfie diterima puluhan kali mencoba gagal terus dipersulit foto benar pencahayaan pas aksesoris cepat gagal terus menangis rasanya sulit butuh untuk membayar keperluan kampus
"Sya beli pulsa, 100 Rb saldopun sudah kepotong ko sampe sekarang 1x24 jam belum masuk juga, terus ko di history.a gak ada transaksi.????? Kelanjutan.a gimana minnn ???????????",beli pulsa ribu saldopun kepotong jam masuk terus history transaksi kelanjutan min
"Cuma mau bilang aja yaa. Banyak sii org"" yg bilang apk ini sulit ini lah itu lahh. Tapi selama ini saya pake ovo aman"" aja tuh gada masalah sama skli dan untuk transfer sii cpet cuma knpa harus pake biaya sii ga kaya dana biaya nya 0 rupiah",bilang ya orang bilang sulit pakai aman tidak ada masalah untuk transfer cepat pakai biaya kayak biaya rupiah
"Kecewa banget sih ama ovo sekarang, cuma buka blokir aja ampe harus bikin surat di atas materai padahal udah jelas akun saya sendiri.. bukti data diri udah di kirim tetep bae harus bikin surat pernyataan.. seribet inikah ovo sekarang 😏",kecewa banget blokir surat atas materai jelas akun bukti data kirim tetap bae surat pernyataan seribet
"Mw Upgrade ke OVO PREMIER, susah. Pasti alesanNya terkendala foto yg bLur lah, yg kurang pencahayaan lah, kurang jelas lah,, pdhl udh jelas sejelas jelas nya tuh foto. Mgkn koneksi yg dPake OVO msh Pentium jadul. NgGa kyk Aplikasi tetangga, yg gampang mudah verifikasi apapun. Aneh OVO..",now watching upgrade premier susah alesannya terkendala foto blur kurang pencahayaan kurang jelas udah jelas sejelas jelas foto koneksi dpake pentium jaman dulu kayak tetangga gampang mudah verifikasi apapun aneh
Tadinya saya kasih bintang 5 sekarang saya turunin ya ovo... Karena ini aplikasi dulu sangat bagus buat saya sekarang kenapa jadi gagu transfer engga bisa sama sekali👿👿👿👿 and satu lagi untuk operator jangan terlalu lama untuk bicara dengan customer karena blm tentu customer itu punya pulsa banyak... Terima kasih,bintang turunin bagus jadi gagu transfer satu untuk operator untuk bicara customer customer punya pulsa terima
"Mending pake aplikasi lain deh yang biaya adminnya dijamin gratis, gk kek aplikasi ini apa² harus pake biaya admin. Kalo top up sih saya wajarkan, ini kita narik dan pindahin ke bank pun tetep kena biaya 2500 rupiah. Hedeuh mending pakai aplikasi lain deh daripada yg ini. 👎🏻",lebih baik pakai deh biaya adminnya dijamin gratis gak kayak pakai biaya admin top up wajarkan menarik pindahin bank tetap kena biaya rupiah hedeuh lebih baik pakai deh
"Mohon untuk para pengguna ovo, lebih berhati hati dalam melakukan transaksi keuangan dengan aplikasi ovo sebelum mengalami kerugian. Saya dapat pengalaman melakukan transaksi dari ovo ke dana milik saya sendiri, saldo berkurang, notifikasi terkirim berhasil, tetapi saldonya tidak masuk ke dana. Dan saat ini transaksi ovo saya selalu gagal dalam melakukan transaksi.",untuk pengguna berhati hati melakukan transaksi keuangan mengalami kerugian pengalaman melakukan transaksi milik saldo berkurang notifikasi terkirim berhasil saldonya masuk transaksi gagal melakukan transaksi
"apk ovo ini makin kesini makin gak jelas , semakin banyak e-walet baru bukan nya semakin bagus malah semakin ancur , gimana mau banyak pengguna nya , saya kirim uang ke akun Dana saya , dari apk ovo terkirim , tp di apk Dana tidak masuk saldo nya , sudah dari tanggal 3 sampe sekarang belum ada kejelasan , seperti di gantung . padahal di masa sulit seperti saat ini , uang segitu sangat penting sekali . tolong lah system nya di perbaiki lagi , jangan kebanyakan ngopi kerja nya",kesini jelas walet bagus hancur pengguna kirim uang akun terkirim masuk saldo tanggal kejelasan gantung masa sulit uang segitu penting system perbaiki kebanyakan ngopi kerja
"Ayolah min, tingkatkan lagi apknya Terutama di bagian transfer, kasian penggunanya jika melakukan tf tulisannya gagal gagal terus. Contohnya saya, dari tadi ingin melakukan tf tapi gagal, sungguh parah nih apk!",ayolah min tingkatkan apknya terutama bagian transfer kasihan penggunanya melakukan tf tulisannya gagal gagal terus contohnya melakukan tf gagal sungguh parah
Isi ulang pulsa tidak masuk. Tidak tercatat juga di history. Lapor di pusat bantuan lama tersambungnya. Giliran sudah tersambung pelayanan tidak memuaskan. Parah. Jadi ragu mau pakai ovo lagi,isi ulang pulsa masuk tercatat history lapor pusat bantuan tersambungnya giliran tersambung pelayanan memuaskan parah jadi ragu pakai
"Saya selalu gagal masuk ke akun ovo saya padahal tiba tiba keluar dari aplikasi dan ketika masuk lagi katanya sandi salah dan ketika sedang ubah sandi gagal terus, terus gimana bisa saya lapor untuk menyelsaikan masalah ini karena tidak ada menu untuk melaporkan masalah ini",gagal masuk akun tiba tiba keluar masuk katanya sandi salah ubah sandi gagal terus terus lapor untuk menyelsaikan masalah menu untuk melaporkan masalah
"Uninstal. Aplikasinya tidak bisa transfer kemanapun uang saya tidak bisa terpakai. Nyangkut di aplikasinya, tolong dong diperbaiki udh berbulan bulan tidak ada perubahan, pindah aplikasi saja.",uninstal aplikasinya transfer kemanapun uang terpakai nyangkut aplikasinya diperbaiki udah berbulan bulan perubahan pindah
Saya beli pulsa gak masuk. Saldo udah kepotong. Custamer service nya lemot gk ada solusi. Sya sudah berkali kali kontak by email dan hubungi cust service. Tpi masalah gk selesai. Kapok no recomend,beli pulsa masuk saldo kepotong custamer service lambat gak solusi berkali kali kontak by email hubungi cust service masalah gak selesai kapok no recomend
"Heh mau upgrade kenapa susah banget sih?! Kamera saya Bagus, jernih, fotonya gak blur sama sekali, kondisi KTP nya jga baik ga cacat. Ini kenapa susah banget sih??! Tolong dong saya mau transfer duitnya ini:( pls bgt knp ga bisa2 sih😭 dah deseperate saya nyoba foto berkali2",heh upgrade susah banget kamera bagus jernih fotonya blur kondisi ktp baik cacat susah banget transfer duitnya banget deseperate mencoba foto berkali
Parah Pelayanan OVO klo ada Masalh Tanggap dan penyelesaian lambat...dan Akun OVO klo merubah Nomer Hp jangan terpecah jadi 2 akun..saya isi top up di akun lama nah ketika nomer akun lama di rubah menjadi baru..saya top up masuk nya ke nomer akun yang saya ganti/rubah nomer baru... Dan ketika itu di email untuk mengemblikan saldo top up di tutup akun terlebih dahulu dan verifikasi..tapi dh seminggu jawaban nya ga ada selesai nya di CS nya.. Ribet..,parah pelayanan masalah tanggap penyelesaian lambat akun merubah nomer handphone terpecah jadi akun isi top up akun nomer akun rubah menjadi top up masuk nomer akun ganti rubah nomer email untuk mengemblikan saldo top up tutup akun verifikasi deh seminggu jawaban selesai cs ribet
"Pertama kali langganan. Saat ke kasir Alfamart kok gak ada pilihan isi saldo buat aplikasi ini? . Belum diteliti lebih ya? Isi saldo di Alfamart ada kan?. Jadi,Bingung mau apa disana.",pertama kali langganan kasir alfamakok pilihan isi saldo diteliti isi saldo alfamaada jadi bingung disana
"Tolong lah pihak ovo jangan mempersulit saya untuk transfer uang ke rekening bank, masa iya dari hari jumat tanggal 6 agustus sampe tanggal 9 agustus gk bisa - bisa buat transfer via rekening bank, biasanya saya transfer uang dari ovo gak masalah2, tapi kok sekarang gk bisa - bisa ya?, tulisan sih external error tapi kok lama bener betulin masalah tersebut???, masa kalah sama aplikasi D**A, disitu bisa2 aja transfer uangnya tanpa ada kendala sama sekali, tolong lah ini diperbaikin.",pihak mempersulit untuk transfer uang rekening bank masa jumat tanggal agustus tanggal agustus gak transfer via rekening bank transfer uang masalah gak tulisan external error benar betulin masalah masa kalah disitu transfer uangnya kendala diperbaikin
"Kasian Orang"" transfer dan top up pembayaran sudah berhasil tetapi tidak masuk uangnya termasuk pulsa , sangat merugikan orang lain , Kategori Aplikasi Penipuan. Saya juga beli pulsa pake OVO pembayaran sudah berhasil dan sudah terpotong saldo saya ... Tapi pulsa tidak masuk .. dan tiba"" history pembelian pulsa tidak ada. Aplikasi Bikin rugi",kasihan orang transfer top up pembayaran berhasil masuk uangnya termasuk pulsa merugikan orang kategori penipuan beli pulsa pakai pembayaran berhasil terpotong saldo pulsa masuk tiba history pembelian pulsa rugi
"Sangat buruk,saya punya saldo di ovo terus saya ingin melakukan pembayaran tapi aplikasinya tdk bisa kebuka. Alasan internet putus padahal sangat lancar,dicoba update sampai hapus data tapi masih tdk bisa. Sangat buruk penilaian saya kali ini,tolong segera diperbaiki",buruk punya saldo terus melakukan pembayaran aplikasinya kebuka alasan internet putus lancar dicoba update hapus data buruk penilaian kali diperbaiki
"Mau transfer harus upgrade ke premium, tapi gagal terus saat foto EKTP, padahal sudah jelas, tidak buram, tidak ada cahaya yg memantul dan lainnya, hadehh sampe berulangkali, menunggu 10 menit berulang kali, mohon dibantu dong, saya sudah dm tuh di Instagram",transfer upgrade premium gagal terus foto ektp jelas buram cahaya memantul hadehh berulangkali menunggu menit berulang kali dibantu dm instagram
"buat para insinyur ovo yg terhormat, tolong dong klen perbaikin apl ovo ini.... uda seminggu gak bisa transfer, isi pulsa, belanja lagi... sampai kpan ni... sudah banyak pengguna ovo yg kecewa... lama² ko macem taaiikk apl ovo ini... sudah coba lihat youtube cara²nya masih aja gagal di gunakan.....",insinyur terhormat memperbaiki apl seminggu transfer isi pulsa belanja pengguna kecewa taaiikk apl coba lihat youtube cara gagal gunakan
"Baru banget install udah approved ke premium. Ehh dipake tfr ke rekening ga bisa2 mulu. Di chat balesnya lama bener. Tulis disini juga paling cuma di suru kontak cs lagi, udah kak udaah berkali2,, ampe capekk. Skrg cuma mau narik saldo yg udah terlanjur ke topup aja trus auto uninstall. Huft",banget install approved premium eh dipakai tfr rekening terus chat balesnya benar tulis suruh kontak cs kak udaah berkali capekk menarik saldo terlanjur topup terus auto uninstall mengeluh
"saya blum ad melakukan transaksi transfer ke bank lain 150x dalam 1 bulan, dan transaksi transfer 10 x dalam sehari. tp saya sudah tadk bisa transaksi lg. balasan email yg saya terima saya sudh melakukan transaksi transfer melewati batas tersebut. sudah saya kirim history transfer ny per hari masih ajj balasnny sama",melakukan transaksi transfer bank bulan transaksi transfer sehari tadk transaksi balasan email terima melakukan transaksi transfer melewati batas kirim history transfer balasnny
"Cukup kecewa sama apk ini karena sudah 2/3x gangguan di proses transfer antarbank, mohon untuk di tingkat lagi jangan hanya kata maaf !!!!!!!! Banyak orang yg sedang butuh!!!!!!!!! Jangan kalian persulit",cukup kecewa gangguan proses transfer antarbank untuk tingkat kata maaf orang butuh persulit
"Mau transfer harus upgrade dulu,,,tapi itu proses upgrade nya susah banget ,,udah email beberapa kali jawaban nya clasic,telpon call center sama sampe pulsa abis 75 ribu,,,bangsaatttt",transfer upgrade proses upgrade susah banget email kali jawaban clasic telpon call center pulsa habis ribu bangsaat
"Min tolong di perbaiki masa udah 2 hari gak bisa tf, trus beli pulsa saldonya terpotong pulsanya gak masuk, trus kalau hubungi operator terlalu slow mutar akhirnya pulsa habis solusi gak ada. Aplikasi payah gak bisa transaksi dari kemarin telpon operator katanya sudah melewati batas transaksi, sampai hari ini tetap gak jadi",min perbaiki masa tf terus beli pulsa saldonya terpotong pulsanya masuk terus hubungi operator slow mutar pulsa habis solusi payah transaksi kemarin telpon operator katanya melewati batas transaksi tetap jadi
"Saya transfer, tapi uangnya tidak masuk ke rekening tujuan. Setelah dilaporkan Saya disuruh menunggu selama 2 hari kerja, tapi setelah 2 hari kerja uangnya belum ada masuk ke rekening tujuan, belum ada juga pengembalian ovo cash, setelah itu saya laporkan kembali, dan masih menunggu. Padahal itu uangnya lagi dibutuhkan ☺",transfer uangnya masuk rekening tujuan dilaporkan disuruh menunggu kerja kerja uangnya masuk rekening tujuan pengembalian cash laporkan kembali menunggu uangnya dibutuhkan
"Selama pakai ovo pernah ada masalah sekali,tapi tim dari ovo cepat menanggapi dan alhamdulillah sdh selesai.masukan aja kalau bisa ovo jg ada program pay later nya,jdi belanja lebih enak,kita gk perlu pake apk lain.",pakai masalah tim cepat menanggapi alhamdulillah selesai masukan program pay later jadi belanja enak gak perlu pakai
"Baru aja saya kehilangan hp+nomor yang terdaftar di ovo, kemudian saya menghubungi customer service ovo melalui DM Instagram, respon dan pelayanan nya sangat baik, terimakasih ovo, pertahankan yaa ☺️",kehilangan handphone nomor terdaftar menghubungi customer service dm instagram respon pelayanan baik terimakasih pertahankan ya
"Aplikasinya sangat menjengkelkan, tidak bisa di upgrade ke premium padahal kondisi ktp, kamera, dll nya sudah memenuhi syarat. Tetapi selalu gagal! Tolong dong aplikasinya diperbaiki lagi, soalnya saya ingin mentransfer saldo saya!!!",aplikasinya menjengkelkan upgrade premium kondisi ktp kamera dan lain-lain memenuhi syarat gagal aplikasinya diperbaiki soalnya mentransfer saldo
"Kemarin malam saya beli pulsa 75.000 ke nomor hp saya dengan biaya 76.500. Saldo OVO telah terpotong 76.500 akan tetapi pulsa tidak masuk. Kemudian ada notifikasi Transaksi telah dicancel, tetapi saldo OVO yg telah terpotong tidak dikembalikan. Mau lapor dari Pusat Bantuan tidak bisa. Harap keluhan saya ini ditindaklanjuti dan saldo OVO saya dikembalikan.",kemarin malam beli pulsa nomor handphone biaya saldo terpotong pulsa masuk notifikasi transaksi dicancel saldo terpotong dikembalikan lapor pusat bantuan harap keluhan ditindaklanjuti saldo dikembalikan
"Udah pake ovo hampir 2 tahun, awalnya lancar lancar aja, kenapa sekarang saya mau top up pake atm gabisa bisa udah liat youtube berkali kali juga tetep ga bisa. Yerus mau tf uang katanya di surup update ovo premium coba berkali kali juga ga bisa yg katanya ktpnya birem segala macemlah, sampe males pake obo lagi!",pakai tahun awalnya lancar lancar top up pakai atm tidak bisa lihat youtube berkali kali tetap yerus tf uang katanya surup update premium coba berkali kali katanya ktpnya birem macemlah malas pakai obo
"Tolong banget dong, ini mau foto KTP buat upgrade ke premium, udah bagus, udah jelas, gak goyang pas di foto tapi malah dibuat buram sama aplikasinya pas hasil foto... Gimana ga disuruh foto ulang terus, capek nunggu 10 menit nya 😭",banget foto ktp upgrade premium bagus jelas goyang pas foto dibuat buram aplikasinya pas hasil foto disuruh foto ulang terus cape menunggu menit
"Dia kenapa sih ini, mau buat ulang security code malah nggak mau, disuruh ualng trus pas masukin ulang kode, tak coba ualng terus , malah d suruh nunggu 60 menit karna tralau sering... gilak ini , ini mau bayar cepet, jadi harus nunggu.. kenapa sihhh.. gilak sih",ulang security code disuruh ualng terus pas masukkan ulang kode coba ualng terus suruh menunggu menit tralau gila bayar cepat jadi menunggu gila
"Dear, Developer OVO PT Visionet Internasional. . Apakah pihak OVO ""bekerjasama"" dengan: 1. Developer BeX.mobil ""Gabungkan ke 21"" ? 2. Developer Puzzle! Game LLC ""Gem Master"" ? . Wallet OVO dicantumkan untuk Pembayaran di KEDUA DEVELOPER tersebut dan PEMBAYARANNYA BERULANG KALI DITUNDA. Mohon informasinya. ( sementara saya kasih Bintang ** dulu, menunggu konfirmasi pihak OVO ). .",dear developer pt visionet internasional pihak bekerjasama developer bex mobil gabungkan developer puzzle permainan llc gem master wallet dicantumkan untuk pembayaran kedua developer pembayarannya berulang kali ditunda informasinya bintang menunggu konfirmasi pihak
"Isi pulsa tanggal 10 sampai tangal 12 blom masuk juga, saldo ovo sudah kepotong, dan ga ada bukti struk langsung hilang begitu aja, coba deh tolong cek transaksi nya, klo buat kasih bukti struk nya ya ga ada, tiba"" langsung ke menu utama ovo, berbagus aplikasi bukan malah memperburuk aplikasi,.",isi pulsa tanggal tangal masuk saldo kepotong bukti struk langsung hilang coba deh cek transaksi bukti struk tiba langsung menu utama berbagus memperburuk
"Hadeeh..aku baru aja mau pake ovo buat bayar toped, tapi kok banyak komen negatif nya gini ya..jadi il'fil deh..takut nanti malah ke tahan saldonya juga ..hmm padahal baru daftar nih,..apa di uninstall aja lagi ya... Kira2 aman gak ya pake ovo?..",hadeeh pakai bayar toped komen negatif jadi il fil deh takut tahan saldonya hmm daftar uninstall kira aman pakai
"Saya mau bayar PPB gagal memproses terus, ini hny sementara coba lagi. Sudah 1minggu saya coba gitu terus, malah koneksi internet saya yg disalahkan. Saya cek lewat aplikasi yg lain sekali saya ketik nomornya langsung keluar total tagihannya. Gimana ini? 😓",bayar ppb gagal memproses terus coba minggu coba terus koneksi internet disalahkan cek lewat ketik nomornya langsung keluar total tagihannya
"paraahhh bangettt padahal belum mencapai transfer 10 juta, tapi mau transfer susah banget ke antar bank dan sesama ovo. pantesan rating nya turun !! kenapa aplikasi ovo jadi gini sih !!!",parah banget mencapai transfer juta transfer susah banget bank pantesan rating turun jadi
Makin parah ini aplikasi. 2 minggu yg lalu beli isi pulsa pending sampe 3 hari. Alhasil dihari ke 4 saldo ovo dikembalikan. Sekarang beli pulsa pending lagi. Kapok gw beli pulsa di ovo.,parah minggu beli isi pulsa pending alhasil dihari saldo dikembalikan beli pulsa pending kapok beli pulsa
"Berapa kali ngisi pulsa, token listrik dan kuota data ngakk kunjung mendapatkan bonus, padahal lagi ada promo bonus dari tgl 1-10 Augustus. Padahal Sudah mengikuti update versi terbaru.",kali mengisi pulsa token listrik kuota data ngakk kunjung mendapatkan bonus promo bonus tanggal augustus mengikuti update versi terbaru
