,tweet,labels
3183,"suasana nya asik , romantis , dan ekslusif . pemandangan nya juga sangat bagus . tapi sayang , jalan untuk menuju ke sana nya masih rusak dan jauh .",-1
9004,"saya makan si pa chi met pasirkaliki , untuk harga cukup mahal dengan porsi gurame bakar yang kecil . rasa tidak terlalu istimewa , gurame bakar agak basah tidak digoreng dahulu , sambal terlalu pedas .",-1
8444,"rasa martabak cukup lezat , karena penjual pun royal untuk menaburi banyak keju dan minyak wijen . harga relatif murah . untuk martabak asin nya pun juga lezat . dan berasa lumer di mulut . saya rasa berhak untuk diacungi jempol . tempat nya pun unik seperti bentuk mobil mainan .",1
21948,wadu huhuhu mudah2an bisa lebih fi mudah2an kita semua bisa selalu meningkatkan kualitas diri masing2 di tiap hari nya aamiin,1
23324,perkataan vaksin mengobati covid penggunaan vaksin influenza singapura dihentikan klik baca,-1
7166,"toko kue di jalan juanda / dago , di sini banyak tersedia segala macam kue , tart , biscuits , semuanya buatan toko kue la belle sangat enak , silakan coba !",1
14438,me lepas tolong buka pintu untuk orang tapi dia tak cakap thanks ,-1
2244,"interior restoran sangat bagus , cocok untuk tempat berkumpul dengan teman-teman . terlalu sempit untuk skala restoran yang cukup ramai . saat itu harus menunggu yang lain selesai . makanan nya tidak ada yang spesial . pancake oreo , nasi goreng , banana split rasanya biasa saja .",-1
11101,melelahkan,-1
5212,"membicarakan soal kampung daun , tempat nya sangat juara . kafe tapi dibikin model kampung perbukitan begitu lengkap dengan mini air terjun dan sungai yang mengalir . ditambah hawa nya yang dingin . tempat ini 98 % juara . 1% nya cari parkir agak susah , karena banyak mobil , tapi parkiran cukup gede sih . hanya saking banyak nya kadang parkir nya harus diujung banget . capek jalan nya . 1 % nya lagi daftar tunggu lagi .",1
22590,jangan kebanyakan nanya kamu ,-1
21493,jangan aku tidak sudi mereka bertemu manusia alay apalagi foto bareng,-1
2692,terus ahok kamu bebaskan sampai sekarang begitu saja ? sekarang dia sudah jadi tersangka tapi kalian tidak mau memenjarakan dia apa maksud kamu ? kalian memang sengaja mau memerangi islam di negara ini .,-1
11220,mie nya oke banget . daging nya berasa . kuah nya juga sedep . bakso nya pas . pelayanan nya juga oke cepat dan tangkas . asik banget kalau rame-rame,1
14156,tak kiro apikan ro aku tok jebul ro kabeh tiwas gr,-1
5932,rose floewer restorant . krpiting saus padang nya no. 1 di bandung . dan banyak lagi yang enak-enak : seperti : kang - kung hot plate . ayam nan king .,1
17361,aku seorang je ke rasa benda ni tak kelakar malah benda ni jugak bodoh ,-1
3075,ayam panggang kecap dimakan sama nasi enak banget apalagi kecap nya spesial banget enak nya dan ayam goreng nya juga enak banyak variasi makanan lainnya,1
825,"cuma di negara indonesia tercinta yang rakyat nya berani mencibir presiden nya dengan seenak jidat , dan tidak mengotak kalau bacot . nanti giliran diusut comment nya dan di bawa ke jalur hukum baru deh nangis-nangis . saya suka jijik sama manusia seperti itu .",-1
16230,kalau simpan duit asyik terguna jadi aku beli emas rm100 beli emas dpt sebesar duit seposen kalau asyik gadai ,1
7192,"tempat makan yang nyaman karena berada di dalam braga citywalk . konsep kafe dibikin nyaman dengan suasana temaram . menu nya variatif . jika ingin mencicipi kuliner bandung , di sini tersedia berbagai pilihan . ada lotek , es cendol , tahu gejrot dsb. harga nya juga terjangkau . sayang , sepertinya tidak ada pemisahan antara area smooking dan nonsmoking .",1
22703,Srikandi NasDemulsel Ulurkan Bantuan Korban Gempaesama manusia tentu kita terpanggil ingin membantu saudara sa ,1
13119,aku ambyar ,-1
19772,sedih itu gak papa tapi jangan lama lama ya karena setelah kesedihan itu kamu harus dapatkan kebahagiaan lagi ,-1
19519,cewe hidup di ketek suami itu ga enak mau ngasi org tua minta suami belom kalo keperluan banyak belom kalo dii ,-1
23281,timbulkan risiko berat izin darurat vaksin covid dicabut,-1
3824,tokopedia tukang tipu,-1
22211,kamu pelupa tapi aku lebih pelupa teuing ,-1
23655,presiden joko widodo menginstruksikan jajarannya detail hatihati rencana pemberian vaksin covid persiapan matang dibutuhkan terkait pengadaan distribusi vaksin edukasi rencana,1
10898,"makanan nya terjangkau , desain interior dan pencahayaan nya cukup oke , cocok buat buat rapat juga . paling oke kalau datang malam .",1
9571,"suasana teduh dan nyaman di tengah resto ada kolam ikan dengan ikan-ikan koi yang besar , terdapat makanan barat , european and sundanese food",1
8608,"saya percaya hidangan bakso di sini itu bersih , maka dari itu tidak masalah dengan harga di atas 10 ribu asal bersih dan tes enak . favorit saya adalah bakso super urat nya , gede , kenyal , dan enak banget . biasanya saya order bakso goreng nya juga , karena di sini juga juara loh . puas banget deh , tidak apa-apa mengantre demi bakso enak yang bersih .",1
5509,letak nya persia depan braga city walk di jalan braga yang eksotis . lokasi luas . dan rasanya memang top deh . faforit saya justru bapao pandan . hanya menyiapkan uang agak banyak ya __laugh__ berdua saja makan bisa hampir 5 ratusan padahal dah pilih-pilih selebihnya enak deh,1
15158,udah daritadi aku bales,-1
11704,"ini jadi salah satu tempat favorit buat nongkrong karena murah , masa spaghetti saja ada yang 9 ribu haha dan tempat nya nyaman lagi",1
4953,"bantu viralkan ini manusia biadab menghina agama suku dan ulama , abdul qadir , riza mahruzar , bayu ku rniawan .",-1
5882,"kalau mau bangkit bangkit saja itu pki , sudah ditungguin rakyat indonesia yang cinta nkri , tni dan ulama dan tokoh agama lainnya , kalau punya nyali mah ayo deh . biar kita bikin jilid dua nih . biar kalian tahu kalau pki tidak bakal bisa hidup di indonesia .",-1
18116,keadaan disana sengaja dibuat chaos pelakunya ya mereka juga ,-1
4093,the peak merupakan tempat yang cocok untuk makan malam bersama pasangan dan keluarga dengan makanan yang cukup enak dan pemandangan yang bagus . suasana nya juga baik dengan hiasan klasik dari pojok sampai pintu masuk nya . namun sepertinya makanan nya sedikit overprice dan penyajian nya juga tergolong agak lama .,-1
10330,"saat long weekend mei 20012 , antrean sangat-sangat panjang . yang enak : paru , cincau , nasi liwet , oseng tempe",1
21034,bila ada orang kutuk kita close your ears and don't listen with them and don't argue with them be strong and take c ,-1
5179,"beli kuota mahal-mahal . masuk aplikasi my telkomsel saja tidak bisa . mau marah , tapi mau tidak mau harus pakai juga .",-1
11839,1 . pelayanan kurang ramah dan lama 2 . banyak lalat di sekitar meja makan 3 . ada anak kecoa di meja saya meja nomor 9 4 . saus sambal nya dingin,-1
9255,"saya sekali nya pesan makanan di sini waktu itu memesan pizza durian . hanya sekadar iseng saja awal nya , kemudian saya datang dan memesan . restoran nya tidak begitu sulit untuk dicari , makanan dan minuman pun beragam . memang tidak begitu besar untuk tempat makanan nya . lebih kepada kedai . setelah jadi , dan saya mencoba itu pizza durian , benar-benar enak banget . benar-benar durian asli ditambah dengan ada keju mozzarella .",1
23632,pemerintah kementerian kesehatan penyuntikan vaksin covid akhir tenaga kesehatan prioritas penyuntikan vaksin covid,1
23182,msg msg motivasi pribadi percaya motivasinya uang pro protokol covid anti curiga demo turun ketakutan jiwa sakit cur,-1
4952,kipp menerima banyak laporan terkait ada nya pelanggaran pada pilkada 2018 .,-1
13292,moga baik2 saja n dapat baby comel ,1
15219,jangan selalu menyalahkan orang lain ada kalanya kamu juga harus intropeksi diri,-1
22434,kalo kamu percaya tuhan ngapain kamu percaya sama peramal toh tuhan yang ngatur semuanya tapi klo emg ,-1
379,"pelayanan cepat , harga murah , nasi goreng yang jempolan , kebetulan di ruangan berac . lokasi balista yang strategis dan terletak di sebelah heritage factory outlet",1
13241,aku nggak pernah baik baik saja kalau lagi kangen sama kamu ,-1
2695,film ftv itu tidak bagus film nya mengajarkan orang selingkuh !,-1
7638,"tertulusan mu untuk kebaikan negeri ini , itulah yang membuat kami semakin mencintai mu pak",1
21245,pendidikan apa yg diterima mereka yg komennya spt ini kemana perginya moralitaspeechlesspt manusia yg hanya ad ,-1
5002,agak sulit menemukan tempat makan ini karena berada di gang sempit . rasa kari nya sangat nikmat dan daging nya juga empuk .,1
1869,vivo kamera nya jelek,-1
2841,"iya sih mi sedap isi nya lebih banyak , tapi soal rasa kalah jauh sama yang lain",-1
23388,covid nya vaksin nya mendepopulasi manusia sih kedepan vaksin wajib hukuman bang menolak,-1
23771,vaksinasi covid jajaran pemerintah diikuti rakyat rekomendasi idi vaksin aman rencana vaksinasi pemerintah terbukti clueless menangani pandemi me,1
7507,"tidak menyangka kafe ini 24 jam , makanan nya murah dan royal banget dengan keju nya . harus mantap harus coba . favorit sekali tempat ini . pas banget buat nongkrong atau yang hanya sekadar cari cemilan doang .",1
14950,aku juga sebenernya gemes pa tapi si yepen ngeyel suka susah dibilangin,1
8012,"eee prof linglung sirik hati nya coba kalau tidak ada kpk , ada kpk saja rezim orba dan say dari presiden mentri pejabat koruptor semua .",-1
8667,minimal kalau tidak mau tak asu asu ke tolong stabilitas sinyal 4 tidak untuk wilayah stadion maguwoharjo - candi sambisari kalasan diy,-1
1911,macet,-1
1046,"nasi campur terkenal di bandung , info nya nasi campur pertama di bandung . mengandung b2 . rasa standar nasi campur . ada babi merah , babi panggang , sate babi manis , bakso goreng , jerohan manis . layanan tidak ramah , maklum masih generasi tua yang beraksi . lokasi makan lumayan bersih tapi tidak berat",-1
1367,zadit tidak ada kualitas nya mengkritik tanpa melihat fakta . seperti tong kosong berbunyi nyaring sehingga terlihat bodoh .,-1
9503,"makan bareng dengan anak-anak dejava , mendadakan tetapi tetap bahagia . dan makan nya juga enak . pemandangan nya bagus , dan pelayanan nya juga memuaskan dari teh isna",1
11088,sumpah tidak rekomendasi sekali rumah sakit ini . percuma dokter bagus tetapi pelayanan sampah,-1
18611,itulah ciri ciri orang sok pintar sok tau padahal nol besar memang demo itu apa artinya apakah kalau demo ,-1
3856,"sushi tei di bandung , yang pasti nasi untuk sushi nya terlalu manis dan ikan nya terlalu kecil kering . pokok nya beda banget sama sushi tei yang di pi mal .",-1
2228,pemandangan malam hari lumayan indah cuaca sejuk cocok untuk pasangan muda . makanan barat rasanya lebih pas dibanding dengan lokal makanan yang rasanya biasa-biasa saja tetapi harga sangat premium,1
16709,hahahahah aku slalu ngelat ckp bawak bekal pastu kuar ngan zaty hahahahaha,1
21292,10 pesan bijak pagi ini 1 yang lebih baik daripada moving on adalah moving up yang lebih kuat daripada m ,1
12038,"dunia ini sudah gila , indonesia paling gila , masalah kepemimpinan tidak selesai-selesai , tidak ada yang bagus huh",-1
5007,"benar-benar kampungan tindakan paspampres yang menghalau gubernur aniesbaswedan di gbk kemarin , entah siapa yang menyuruh tapi tidak layak seorang kepala daerah yang tim nya menang dan lokasi pertandingan juga diwilayah nya diperlakukan begini",-1
16412,pasti aku kan yang dicari ,1
15470,eirockya yg di radal dan pim jg itu ga enak sih imo rasa soto aku ingin ke aeon ,-1
8011,"masakan nya enak , banyak varian nya , lokasi nya dekat dengan terminal bus , sistem nya seperti prasmanan , yang lebih enak nya itu sambal nya yang saya cari , mantaap",1
1049,"wah berarti ini keluarga rusak ya . sudah rumah tangga hancur , ahok dan verro sama sama penjahat .",-1
18628,he stepped up when jay died and was there for lottie and all of her siblings it's sad how quickly daisy has forgotten that ,-1
215,"wifi di sini selalu eror , makanan dan minuman agak mahal , lumpiah goreng asin sekali , teh susu hanya sedikit enak , lama sekali untuk pesanan",-1
3634,"makan kepiting yang enak banget ya di chef epi . resto khusus sea food ini punya sajian andalan menu kepiting , yakni butter crab , singapore chili crab dan black pepper crab . yang paling juara adalah butter crab . rasanya berbeda dari menu kepiting di mana pun yang pernah saya coba . kelebihan resto ini adalah pada komitmen nya tidak menggunakan msg dan menjunjung kehalalan produk nya .",1
5178,"perayaan ulang tahun menjadi lebih berkesan . pelayanan nya memuaskan , dan makanan serta minuman yang disajikan sesuai dengan selera . pelayanan dari waitress nya pun della sangat ramah . terima kasih trans luxury hotel . a rekomendasi tempat to visit .",1
4629,"sedih baca twit yang muncul di , sepicik itu kah mereka memandang agama . yang kotor , licik dan korup itu bukan agama tapi manusia",-1
4756,diragukan,-1
8754,"niat nya sih nyapres biar ada penanda kebaikan di daerah daerah di mana mereka masih bisa dibujuk dengan indomie dan minyak goreng , mari kawal 2019 dari anjing anjing compeni , eh salah ya bukan jaman belanda , tapi sama zaman penjajahan . ha . ha .",-1
19516,lhaitu ngapainegala di postuka ga mikir jugai kadang allahu keselaya,-1
14916,aku yang kurang atau kamu yang tidak pernah cukup dengan satu aku ,-1
10456,"tapi ya bagaimana ada prestasi , mengurus karyawan sendiri saja tidak becus .",-1
22558,aku diam bukan karena sabar mungkin aku diam agar kamu sadarelamat siang ,-1
4393,"resto ini mempunyai banyak pilihan tempat makan seperti di dalam rumah , saung , di bawah payung dan di balkon yang menyediakan tempat duduk lesehan atau dengan meja disertai menikmati pemandangan kota bandung . menu seperti nasi liwet , ayam jamur , nasi liwet ikan asin , mendoan , sate maranggi , sop kambing dan lainnya . nasi liwet rasanya enak dan harum . sate meranggi rasanya gurih dan lunak .",1
10640,"natal tahun ini lebih sedikit orang ibadah dari tahun lalu , tapi kemacetan lalu lintas lebih parah tahun ini ckck",-1
7946,kenapa jokowi tidak memenuhi janji kampanye malah membangun infrastruktur yang tidak ada dalam janji kampanye nya,-1
2484,buat penyuka kopi . kalau kangen kopi gayo bisa datang ke sini . makanan nya sih simpel . indomie yang diolah dengan aneka rasa . roti bakar dengan banyak varian . roti bakar green tea nya enak . nasi goreng nya enak . indomie nya boleh juga . : sebetulnya tempat nya lumayan enak . menarik dan simpel penataan nya .,1
5411,"dari segi makanan tidak direkomendasikan karena ada campuran stroberi , jadi semua makanan nya ada rasa asem nya . nasi goreng stroberi , puyeng dah rasanya hehehe",1
8439,"tempat favorit saya . karena murah meriah steak nya dan ada juga yang porsi dobel , tempat nya nyaman , dekat dengan kantor polis dan dekat pula dengan taman vanda",1
11427,"bao sendiri arti nya bakpau dan di sini banyak rasa model bao nya yang lucu-lucu . di sini beli 3 rasa bao , yaitu bao coklat , ayam bumbu merah , sama durian . untuk bao coklat sama durian nya . enak banget . tapi untuk bao ayam nya biasa saja . dimsum mencoba bakau sama siomay . sioma nya di sini siomay ayam . buat rasa sih enak . selain ada bao dan dimsum juga tersedia makanan berat lainnya .",1
23695,pemerintah as tlh menandatangani kontrak penyediaan vaksin covid moderna uji klinisnya maju memasuki tahap pengujian ketiga menentukan merk menutupi ribu relawan harga formulasi berkis,1
6977,"pemandangan yang ditawarkan le cordon sngat indah berbeda dengan tebing keraton yang menawarkan pemandangan hutan , di waroeng le cordon kita bisa melihat asik nya perkebunan sambil menikamti secangkir kopi hangat dengan toasti serta menu makanan lainnya . di warorng le cordon juga pelayanan sangat baik serta kita diijinkan untuk tulis di batu yang sudah disediakan .",1
17414,toxic bgt tetangga2mu ingin istighfar aku jadinya btw setelah membaca ceritamu aku bisa ,-1
20655,65 kamu gausa kuatir biasanya klo org ngadain ga pasti rejeki nya lancar terosss kooo ,1
19780,aamiin aamiin iya nih cha pokoknya bismillah thn depan bisa bareng2 kita ya ,1
5632,"tampak biasa saja setelah kurang lebih 5 tahun yang lalu saat saya pertama ke sini , kualitas rasa juga berkurang , harga makin mahal juga",-1
970,"terletak di lokasi yang jauh dari keramaian dan sejuk , sangat cocok untuk melepas penat . penataan lokasi yang khas , dengan tema alam : danau , saung , hutan dan sawah . yang paling unik adalah kafe yang berbentuk sarang burung terletak di antara pohon kayu putih , dan disambungkan dengan jembatan kayu sehingga kita akan merasakan sensasi makan yang lain . rasa makanan nya lumayan enak .",1
20407,benar benar kamu kalau udah sama aku manja nya bertambah level ree menyendokan makanannya ke mul ,-1
17875,mengerikan sekali ribuan orang terpendam dibawah tanah sedalam 20 meter kita doakan semoga tuhan memberikan keajaiban dan m ,-1
6927,"ulama di dzolimi , tetapi anies hanya diam ! anies itu hanya memanfaatkan suara islam untuk politik .",-1
21588,hm iyasih auranya strong ketemu strong jadi super strong tunggu duet maut kita lagi ya ,1
11154,"copot saja dari dpr sudah tak mampu kerja percuma menerima gaji , tidak malu menerima gaji buta",-1
641,"saya ke sini dengan membawa tamu , mereka senang dengan makanan di sini karena keunikan nya makan benar-benar beralaskan daun bukan piring . ada dapur terbuka di bagian belakang , menjadikan salah satu keunikan lainnya di sini . staff nya pun ramah-ramah . harga pun muat di kantong , tidak mahal , terjangkau .",1
8980,"setiap bulan saya pergi makan ke restoran ini . dengan harga yang cukup terjangkau 15 - 30 ribu / orang anda dapat menyantap berbagai jenis nasi goreng rempah yang sangat enak . tentukan tingkat kepedasan mu , dan rasakan beda nya dengan nasi goreng lainnya . tempat nya cukup ramai di malam hari dan cukup luas .",1
18129,adik aku ni umur aku ni dah 24 setiap kali aku whatsapp senyum ke dalam group aku macam happy sikit mesti dia b ,1
8568,"pertama mencoba ketika pertama buka dulu di jalan lodaya , bakso kampung dengan harga murah dengan tempat lumayan . rasanya sih biasa saja , tetapi beberapa hari lalu mencoba kembali setelah sekian lama . bakso kampung yang kini berada di jalan veteran berubah sudah rasa tidak enak , mahal lagi , dari kuah di hitung , sayur sedikit dihitung apa-apa di hitung terpisah jatuh nya mahal sekali .",-1
22356,kehidupan kita ini begitu luas tak melulu urusan politik cobalah untk ber empati agar mahluk laen ,1
2837,"supaya adil , bikin saja patung aisyah cilik lagi ngangkang di depan masjid istiqlal , nabi muhammad kan doyan pepe anak kecil",-1
5698,"kupat tahu gempol merupakan salah satu kupat tahu legendaris di kota bandung . tempat nya tidak terlalu besar tetapi cukup mencolok dengan warna merah nya di pertigaan pasar gempol . porsi nya pas banget untuk bunuh . ciri khas dari kupat tahu ini adalah tahu nya yang lembut dan kenyal serta kuah kacang nya pas di lidah , dipadu dengan lontong , tauge dan kerupuk merah . enak euy :",1
1609,"banyak cabang di beberapa kota , dengan banyak menu pilihan , dan bisa memilih langsung makanan sendiri , dengan harga cukup terjankau kantong",1
8515,"resto ini menu pilihan nya beragam . makanan indonesia , ataupun makanan barat yang populer bisa menjadi pilihan . jika mengajak anak-anak , di sini ada area bermain . tersedia juga tempat duduk untuk balita . ada area teras merokok area dan dalam ruangan nonmerokok area .",1
13687,hari ini hatiku hancur lebur dek kerana sikap anak aku sendiri anak kantoi menyamun di dobi layan diri ibu l ,-1
10173,"menu lengkap , nasional dan makanan barat ada . makanan penutup enak dan bagus untuk difoto . pencahayaan minimum dapat diatasi dengan menambah lampu dari senter hp .",1
2935,"steak nya lumayan enak , cocok bagi mahasiswa . tempat nya dekat dengan jalan , hanya tempat nya kurang nyaman , kadang sedang makan terdengar bunyi klakson ramai di jalanan .",1
575,berfaedah banget malam minggu mengikuti,1
14461,enak aja ga dong alis aku lebih bagus,1
6519,"dikira sudah mendukung 4 tidak , ternyata belum ya .",-1
1845,"mi aceh bang jaly di tanah kusir tidak rekomendasi pelayanan parah sudah pesan hampir sejam tapi pesanan tidak selesai , malahan orang lain yang baru datang dengan menu yang sama tidak pakai tunggu lama langsung jadi",-1
3655,"pelayanan nya sangat sangat mengecewakan , pelayan-pelayan nya sepertinya tidak dididik untuk bersikap baik kepada pelanggan . waktu pelayanan juga sangat lama . not direkomendasikan , buat yang tidak bisa bersabar .",-1
11464,"dulu membanggakan partai demokrat sekarang menjelekkan , dulu menjelekkan pak jokowi sekarang membanggakan , dasar muka dua , azab allah menanti bang hahahahha",-1
3573,tingkat kedisplinan orang indonesia tidak ada apa apa nya daripada orang jepang,-1
19,"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",1
7592,"malang sekarang semakin macet , bikin malas pergi ke malang",-1
13892,demi turun ngambil ini aku kepleset ditangga ,-1
9092,tempat makan malam yang nyaman dan romantis . kebetulan saya dan suami makan di lantai paling atas . makanan yang datang cukup cepat . rasanya juga enak .,1
10851,"pagi pagi sarapan di sini lama banget makanana nya jadi , harga 30 - 100 permakana nya , makanan biasa saja",-1
22856,Tentang sebuah problematika perempuan Mereka dihadapkan oleh pilihan yang tak mereka mengerti ,-1
20827,beraninya sama ibu ibu demokrasi omong kosong sudah main kekerasan mereka tolong dilapor ,-1
18441,kebanyakan nonton sinetron yg ceritanya org jahat di azab petir sampe gosong dpt iden ,-1
16647,mungkin saja saat kamu hanya main main aku justru seriusaat kamu hanya sekedar aku malah seluruh itulah mengapa ,-1
10243,"padahal baru beli paket 9 gb dan masih 3 gb , kok malah terblokir , sialan !",-1
1674,"awal nya ke sini karena sering lewat kalau ke kampus atau pulang kantor , karena dekat dengan transit angkot kalapa - bubat . tempat nya kecil dan nyaman dari luar , kalau tidak diperhatikan betul tidak akan tahu kalau ini restoran . pas sudah masuk , tempat nya indah banget , suasana nya kayak suasana teras bangunan lama begitu . terus penataan lighting nya juga bagus , apalagi yang berpasangan . kesan nya romantis dan nyaman banget . pelayan nya ramah . terbaik .",1
3921,saya sudah sering sekali ke sini pemandangan yang ditawarkan oleh lounge ini sungguh indah namun ada beberapa saat angin kencang sehingga tidak memungkinkan untuk ruangan di luar untuk rasa makanan cenderung standar dan harga yang ditawarkan cukup tinggi,1
7697,"lokasi strategis di pasteur , tersedia ruang makan pribadi untuk keluarga . nasi liwet yang kami pesan rasanya tidak terlalu gurih . karedok nya enak . ayam goreng maupun ayam bakar rasanya standar saja .",1
2880,"saya ordered yamien manis pangsit basah . soal rasa , standar aja . terlalu manis . porsi nya sih jumbo . dari menu nya , ada tulisan kalau pangsit , bakso mengandung babi . tapi aku makan pangsit basah nya biasa saja . tidak berasa babi nya . kuah nya pun plain , tidak ada rasa kaldu , entah dari ayam atau babi . temen ku pesan yamien kuah pangsit basah , es jeruk , kopi susu .",1
12365,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov ,1
17781,aerizenini mutualanama aku kita nangis barengan huhuhuhuhu auto follback ya dn aku ada buahemangka nya,-1
7900,tidak ceria,-1
15344,aku yang bodoh ke lawak ni yang bodoh heheh,-1
15605,amiiiin goodluck anw ,1
12103,kalau kamu mau menikmati masakan sunda di tengah-tengah sawah ya di sapu lidi ini tempat nya . lokasi yang di lembang ini persis di dalem kompleks perumahan graha puspa di belakang vihara vipassana graha yang ada di lembang .,1
18252,cinta monyet waktu masih anak anak itu lucu dan konyol tapi perasaan cintanya tulus dan tidak pake modus teens kikies,1
3589,"minuman koma apa sih kok cara minum nya aneh , rasanya aneh juga lagi",-1
14447,aku dok tengok je online tapi malas la nak cakap aku kena balik ,-1
5431,"pendeta ajaran sesat , biadab itu",-1
10409,"malam minggu jam 9an kebetulan ingin cari makanan penutup di bandung . karena bingung mencari di mana , alhasil pergi ke pasal makanan , karena di sana makanan apa saja ada . konsep nya seperti kafetaria tapi open air . dari makanan ringan hingga makanan berat , kue , jajanan pasar , wedang ronde , bandrek , dan sebagai nya . harga tidak terlalu mahal dan cukup terjangkau . semuanya self service . tempat nya luas .",1
9703,"nama nya juga pengikut bibir : v , yang mana dkit-dkit dikatakan kafir , twitter buatan orang kfir masih saja di kek : v mau membuat media sosial sendiri tetapi buat nya kek komputer juga masih buatan kafir komputer nya , jadi ya begitu , kafir - kafirin orang , tidak tau nya dia juga yang pelek produk kafir : v",-1
920,"tempat ini sedikit berbeda dengan yang ada di bandung saat ini . di tempat ini pengunjung bisa menikmati alam , restoran , kedai makan , area bermain anak serta penginapan . dengan lokasi nya di atas gunung , tempat ini sangat menyegarkan dan pada malam hari tempat ini cukup dingin . untuk menuju tempat ini pengunjung nanti akan dimenyediakan kendaraan wara-wiri dari parkiran sampai ke lobby .",1
2056,malam minggu kemarin saya dan suami makan disinih rasa dan suasana nya ke bandungan ban set . enak dan bikin ketagihan .,1
15699,tauu hahaha kang ckp pastu drag sampai ke org lain taknak hahahaha aku ckp aku niaa kang bukan kau hahahha,1
18439,tanggal 2 oktober batik diakui oleh unesco sebagai warisan budaya dunia yang berasal dari indonesia yuk jaga war ,1
8709,tidak tenang,-1
21723,mesakke ik pengen aku ngewangi mbeneke,-1
11790,"pertama kali saya menginjakan kaki di hotel padma , saya begitu terpesona dengan konsep hotel yang dimiliki karena kita dapat melihat lembah yang ada di bandung dan udara sejuk nya bandung . keesokan hari nya saya makan di restoran yang merupakan fasilitas dari hotel padma . the restoran memiliki pemandangan yang begitu menawan . the restoran ini memiliki konsep yang berbeda dengan restoran lain .",1
